Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
BHARTIARTL,Unknown,BIG_BLOCK_BUY,883.92,Y,Weak,Y,28.06,Monitor
DLF,Unknown,BIG_BLOCK_BUY,1016.0,Y,Weak,Y,12.41,Monitor
VEDL,Unknown,BIG_BLOCK_BUY,643.92,Y,Weak,Y,9.29,Monitor
PFC,Unknown,BIG_BLOCK_BUY,549.15,N,Weak,Y,17.3,Avoid
TATAMOTORS,Unknown,BIG_BULK_BUY,960.0,Y,Weak,Y,12.77,Monitor
HAL,Unknown,BIG_BULK_BUY,4707.28,N,Weak,Y,12.39,Avoid
IRFC,Unknown,BIG_BULK_BUY,191.16,Y,Strong,Y,14.23,Ready
ZOMATO,Unknown,BIG_BULK_BUY,272.64,Y,Weak,Y,20.63,Monitor
SUZLON,Unknown,BIG_BULK_BUY,56.51,N,Weak,N,21.86,Avoid
BEL,Unknown,BIG_BULK_BUY,342.7,N,Weak,N,5.14,Avoid
