Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-06-24,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Bonus Issue,Bullish,High,Bonus 5:1,NSE_CA
2026-06-24,KOTYARK,Kotyark Industries Limited,Bonus Issue,Bullish,High,Bonus 10:1,NSE_CA
2026-06-24,BAJAJ-AUTO,Bajaj Auto Limited,Buyback,Bullish,High,Buy Back,NSE_CA
2026-06-23,ABCAPITAL,Aditya Birla Capital Limited,Preferential Allotment,Neutral,High,"Allotment of Securities Aditya Birla Capital Limited has informed the Exchange regarding allotment of 112353236 securities pursuant to Preferential Issue at its meeting held on Jun 23, 2026",NSE_ANN
2026-06-23,LANDSMILL,Landsmill Green Limited,Mergers & Acquisitions,Bullish,High,"Updates Landsmill Green Limited has informed the Exchange regarding disclosure received from Promoter under Regulation 29(2) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011",NSE_ANN
2026-06-23,INTERARCH,Interarch Building Solutions Limited,Large Order Win,Bullish,High,Bagging/Receiving of orders/contracts Interarch Building Solutions Limited has informed the Exchange about Bagging/Receiving of orders/contracts,NSE_ANN
2026-06-23,INTERARCH,Interarch Building Solutions Limited,Large Order Win,Bullish,High,"Press Release Interarch Building Solutions Limited has informed the Exchange regarding a press release dated Jun 23, 2026, titled ""Interarch Building Solutions Strengthens Order Book with &#8377;375 Crores of New Orders in June 2026"".",NSE_ANN
2026-06-23,IGIL,International Gemological Institute Limited,Management Change,Neutral,Medium,Change in Company Secretary/Compliance Officer International Gemological Institute Limited has informed the Exchange about Change in Company Secretary/Compliance Officer,NSE_ANN
2026-06-25,INDUSINDBK,IndusInd Bank Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-06-25,GICHSGFIN,GIC Housing Finance Limited,Dividend,Neutral,Low,Dividend - Rs 4.50 Per Share,NSE_CA
2026-06-25,VISAKAIND,Visaka Industries Limited,Dividend,Neutral,Low,Dividend - Rs 1.20 Per Share,NSE_CA
2026-06-25,ALKYLAMINE,Alkyl Amines Chemicals Limited,Dividend,Neutral,Low,Dividend - Rs 10 Per Share,NSE_CA
2026-06-25,MAWANASUG,Mawana Sugars Limited,Dividend,Neutral,Low,Dividend - Rs 4 Per Share,NSE_CA
2026-06-25,CARERATING,CARE Ratings Limited,Dividend,Neutral,Low,Dividend - Rs 14 Per Share,NSE_CA
2026-06-25,UFLEX,UFLEX Limited,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-06-24,WHEELS,Wheels India Limited,Dividend,Neutral,Low,Dividend - Rs 9.14 Per Share,NSE_CA
2026-06-24,BUILDPRO,Shankara Buildpro Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-06-23,INDHOTEL,The Indian Hotels Company Limited,Dividend,Neutral,Low,Dividend - Rs 3.25 Per Share,NSE_CA
2026-06-23,HINDUNILVR,Hindustan Unilever Limited,Dividend,Neutral,Low,Dividend - Rs 22 Per Share,NSE_CA
2026-06-23,ASIANPAINT,Asian Paints Limited,Dividend,Neutral,Low,Dividend - Rs 23 Per Share,NSE_CA
2026-06-23,DALBHARAT,Dalmia Bharat Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-06-23,THYROCARE,Thyrocare Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 7 Per Share,NSE_CA
2026-06-23,GNA,GNA Axles Limited,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-06-23,ARSSBL,Anand Rathi Share and Stock Brokers Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-06-23,TATAPOWER,Tata Power Company Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
