Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-15,ORBTEXP,Orbit Exports Limited,Buyback,Bullish,High,Buy Back,NSE_CA
2026-07-10,GOLDIAM,Goldiam International Limited,Bonus Issue,Bullish,High,Bonus 1:3,NSE_CA
2026-07-09,KSOLVES,Ksolves India Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Ksolves India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-09,VIVIANA,Viviana Power Tech Limited,Large Order Win,Bullish,High,"Bagging/Receiving of orders/contracts Viviana Power Tech Limited has informed the Exchange about receiving new turnkey contract from existing client M/s. Paschim Gujarat Vij Company Limited (PGVCL) amounting to Rs. 71,38,64,233/- (Rupees Seventy-One Crore Thirty-Eight Lakhs Sixty-Four Thousand Two H",NSE_ANN
2026-07-14,EPACKPEB,EPack Prefab Technologies Limited,Management Change,Neutral,Medium,"Cessation Intimation of Resignation of Senior Management Personnel ( SMP ) pursuant to Regulation 30 ofSEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",NSE_ANN
2026-07-14,JAYKAY,Jaykay Enterprises Limited,Rights Issue,Bearish,Medium,Updates Jaykay Enterprises Limited has informed the Exchange regarding 'Draft Letter of Offer for the Rights Issue of Jaykay Enterprises Limited'.,NSE_ANN
2026-07-10,ACEINTEG,Ace Integrated Solutions Limited,Management Change,Neutral,Medium,Change in Management Ace Integrated Solutions Limited has informed the Exchange about change in Management,NSE_ANN
2026-07-16,ASPINWALL,Aspinwall and Company Limited,Dividend,Neutral,Low,Dividend - Rs 6.50 Per Share,NSE_CA
2026-07-16,COROMANDEL,Coromandel International Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-15,BBL,Bharat Bijlee Limited,Dividend,Neutral,Low,Dividend - Rs 35 Per Share,NSE_CA
2026-07-15,HERITGFOOD,Heritage Foods Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-15,KFINTECH,Kfin Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 12 Per Share,NSE_CA
2026-07-15,TCS,Tata Consultancy Services Limited,Dividend,Neutral,Low,Interim Dividend - Rs 12 Per Share,NSE_CA
2026-07-14,BIMETAL,Bimetal Bearings Limited,Dividend,Neutral,Low,Dividend - Rs 13.50 Per Share,NSE_CA
2026-07-14,HESTERBIO,Hester Biosciences Limited,Dividend,Neutral,Low,Dividend - Rs 11 Per Share,NSE_CA
2026-07-14,PIXTRANS,Pix Transmissions Limited,Dividend,Neutral,Low,Dividend - Rs 9 Per Share,NSE_CA
2026-07-14,MSUMI,Motherson Sumi Wiring India Limited,Dividend,Neutral,Low,Dividend - Re 0.58 Per Share,NSE_CA
2026-07-14,SPLPETRO,Supreme Petrochem Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-14,MODISONLTD,MODISON LIMITED,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-07-14,MOTHERSON,Samvardhana Motherson International Limited,Dividend,Neutral,Low,Dividend - Rs 0.25 Per Share,NSE_CA
2026-07-14,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Dividend,Neutral,Low,Dividend - Rs 0.05 Per Share,NSE_CA
2026-07-14,UTIAMC,UTI Asset Management Company Limited,Dividend,Neutral,Low,Dividend - Rs 40 Per Share,NSE_CA
2026-07-14,ULTRAMAR,Ultramarine & Pigments Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-14,ABREL,Aditya Birla Real Estate Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-14,AEROFLEX,Aeroflex Industries Limited,Dividend,Neutral,Low,Dividend - Rs 0.40 Per Share,NSE_CA
2026-07-14,IMPAL,India Motor Parts and Accessories Limited,Dividend,Neutral,Low,Dividend - Rs 23 Per Share,NSE_CA
2026-07-10,BSE,BSE Limited,Dividend,Neutral,Low,Dividend - Rs 10 Per Share,NSE_CA
2026-07-10,CONTROLPR,Control Print Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-10,ORIENTELEC,Orient Electric Limited,Dividend,Neutral,Low,Dividend - Rs 0.75 Per Share,NSE_CA
2026-07-10,GEOJITFSL,Geojit Financial Services Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-10,MAHLOG,Mahindra Logistics Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-10,NUCLEUS,Nucleus Software Exports Limited,Dividend,Neutral,Low,Dividend - Rs 12.50 Per Share,NSE_CA
2026-07-10,DRREDDY,Dr. Reddy's Laboratories Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-10,SMARTLINK,Smartlink Holdings Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-10,SOBHA,Sobha Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-10,NESTLEIND,Nestle India Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-10,NESTLEIND,Nestle India Limited,Dividend,Neutral,Low,Special Dividend - Rs 2 Per Share,NSE_CA
2026-07-10,DLINKINDIA,D-Link (India) Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share/Special Dividend - Rs 7.50,NSE_CA
2026-07-10,PTL,PTL Enterprises Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Sh,NSE_CA
2026-07-10,NILKAMAL,Nilkamal Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share,NSE_CA
2026-07-10,HINDALCO,Hindalco Industries Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-10,VSTIND,VST Industries Limited,Dividend,Neutral,Low,Dividend - Rs 12 Per Share,NSE_CA
2026-07-10,GRINDWELL,Grindwell Norton Limited,Dividend,Neutral,Low,Dividend - Rs 19 Per Share,NSE_CA
2026-07-10,JKCEMENT,JK Cement Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share,NSE_CA
2026-07-10,APOLLOTYRE,Apollo Tyres Limited,Dividend,Neutral,Low,Dividend - Rs2.50 Per Share,NSE_CA
2026-07-10,AXISBANK,Axis Bank Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-09,RPGLIFE,RPG Life Sciences Limited,Dividend,Neutral,Low,Dividend - Rs 24 Per Share,NSE_CA
2026-07-09,TARACHAND,Tara Chand InfraLogistic Solutions Limited,Dividend,Neutral,Low,Dividend - Re 0.20 Per Share,NSE_CA
2026-07-09,HARSHA,Harsha Engineers International Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-09,SFL,Sheela Foam Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-09,TITAN,Titan Company Limited,Dividend,Neutral,Low,Dividend - Rs 15 Per Share,NSE_CA
