Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-10,GOLDIAM,Goldiam International Limited,Bonus Issue,Bullish,High,Bonus 1:3,NSE_CA
2026-07-09,KSOLVES,Ksolves India Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Ksolves India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-09,VIVIANA,Viviana Power Tech Limited,Large Order Win,Bullish,High,"Bagging/Receiving of orders/contracts Viviana Power Tech Limited has informed the Exchange about receiving new turnkey contract from existing client M/s. Paschim Gujarat Vij Company Limited (PGVCL) amounting to Rs. 71,38,64,233/- (Rupees Seventy-One Crore Thirty-Eight Lakhs Sixty-Four Thousand Two H",NSE_ANN
2026-07-08,MARKSANS,Marksans Pharma Limited,Mergers & Acquisitions,Bullish,High,"Press Release Marksans Pharma Limited has informed the Exchange regarding a press release dated July 08, 2026, titled ""Marksans Pharma signed a definitive agreement to acquire 100 percent share capital of a German based Company namely ABCnow GmbH"".",NSE_ANN
2026-07-04,EPL,EPL Limited,Mergers & Acquisitions,Bullish,High,Acquisition EPL Limited has informed the Exchange about investment in EPL Packaging (Thailand) Co. Ltd.,NSE_ANN
2026-07-04,GLOBECIVIL,Globe Civil Projects Limited,Large Order Win,Bullish,High,Bagging/Receiving of orders/contracts Globe Civil Projects Limited has informed the Exchange about Bagging/Receiving of orders/contracts,NSE_ANN
2026-07-03,TEAMLEASE,Teamlease Services Limited,Buyback,Bullish,High,Buy Back,NSE_CA
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations RR Infralands Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,KPEL,K.P. Energy Limited,Regulatory Approval,Bullish,High,ESOP/ESOS/ESPS K.P. Energy Limited has informed the Exchange regarding Grant of 76000  Options.,NSE_ANN
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Jarul Infrastructure Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,INDOTHAI,Indo Thai Securities Limited,Preferential Allotment,Neutral,High,"Committee Meeting Updates Indo Thai Securities Limited has informed the Exchange regarding Outcome of Preferential Allotment Committee Meeting held on July 03, 2026.",NSE_ANN
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Heliotrope Real Estate Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,INDOTHAI,Indo Thai Securities Limited,Preferential Allotment,Neutral,High,"Allotment of Securities Indo Thai Securities Limited has informed the Exchange regarding allotment of 1500000 Equity Shares pursuant to conversion of warrants issued on Preferential Issue at its meeting held on July 03, 2026.",NSE_ANN
2026-07-03,COROMANDEL,Coromandel International Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Coromandel International Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,UFO,UFO Moviez India Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations UFO Moviez India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-10,ACEINTEG,Ace Integrated Solutions Limited,Management Change,Neutral,Medium,Change in Management Ace Integrated Solutions Limited has informed the Exchange about change in Management,NSE_ANN
2026-07-03,MBAPL,Madhya Bharat Agro Products Limited,Stock Split,Neutral,Medium,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,NSE_CA
2026-07-03,KRISHANA,Krishana Phoschem Limited,Stock Split,Neutral,Medium,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,NSE_CA
2026-07-10,BSE,BSE Limited,Dividend,Neutral,Low,Dividend - Rs 10 Per Share,NSE_CA
2026-07-10,CONTROLPR,Control Print Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-10,ORIENTELEC,Orient Electric Limited,Dividend,Neutral,Low,Dividend - Rs 0.75 Per Share,NSE_CA
2026-07-10,GEOJITFSL,Geojit Financial Services Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-10,MAHLOG,Mahindra Logistics Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-10,NUCLEUS,Nucleus Software Exports Limited,Dividend,Neutral,Low,Dividend - Rs 12.50 Per Share,NSE_CA
2026-07-10,DRREDDY,Dr. Reddy's Laboratories Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-10,SMARTLINK,Smartlink Holdings Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-10,SOBHA,Sobha Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-10,NESTLEIND,Nestle India Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-10,NESTLEIND,Nestle India Limited,Dividend,Neutral,Low,Special Dividend - Rs 2 Per Share,NSE_CA
2026-07-10,DLINKINDIA,D-Link (India) Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share/Special Dividend - Rs 7.50,NSE_CA
2026-07-10,PTL,PTL Enterprises Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Sh,NSE_CA
2026-07-10,NILKAMAL,Nilkamal Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share,NSE_CA
2026-07-10,HINDALCO,Hindalco Industries Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-10,VSTIND,VST Industries Limited,Dividend,Neutral,Low,Dividend - Rs 12 Per Share,NSE_CA
2026-07-10,GRINDWELL,Grindwell Norton Limited,Dividend,Neutral,Low,Dividend - Rs 19 Per Share,NSE_CA
2026-07-10,JKCEMENT,JK Cement Limited,Dividend,Neutral,Low,Dividend - Rs 20 Per Share,NSE_CA
2026-07-10,APOLLOTYRE,Apollo Tyres Limited,Dividend,Neutral,Low,Dividend - Rs2.50 Per Share,NSE_CA
2026-07-10,AXISBANK,Axis Bank Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-09,RPGLIFE,RPG Life Sciences Limited,Dividend,Neutral,Low,Dividend - Rs 24 Per Share,NSE_CA
2026-07-09,TARACHAND,Tara Chand InfraLogistic Solutions Limited,Dividend,Neutral,Low,Dividend - Re 0.20 Per Share,NSE_CA
2026-07-09,HARSHA,Harsha Engineers International Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-09,SFL,Sheela Foam Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-09,TITAN,Titan Company Limited,Dividend,Neutral,Low,Dividend - Rs 15 Per Share,NSE_CA
2026-07-08,KRISHNADEF,Krishna Defence and Allied Industries Limited,Dividend,Neutral,Low,Dividend - Rs 1.25 Per Share,NSE_CA
2026-07-08,MPHASIS,MphasiS Limited,Dividend,Neutral,Low,Dividend - Rs 62 Per Share,NSE_CA
2026-07-08,UNITDSPR,United Spirits Limited,Dividend,Neutral,Low,Dividend - Rs 11 Per Share,NSE_CA
2026-07-08,BLISSGVS,Bliss GVS Pharma Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-07,JSWSTEEL,JSW Steel Limited,Dividend,Neutral,Low,Dividend - Rs 7.10 Per Share,NSE_CA
2026-07-07,SUNPHARMA,Sun Pharmaceutical Industries Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-07,DODLA,Dodla Dairy Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-07,TSFINV,TSF INVESTMENTS LIMITED,Dividend,Neutral,Low,Dividend - Rs 4.45 Per Share,NSE_CA
2026-07-07,CERA,Cera Sanitaryware Limited,Dividend,Neutral,Low,Dividend - Rs 75 Per Share,NSE_CA
2026-07-06,PILANIINVS,Pilani Investment and Industries Corporation Limited,Dividend,Neutral,Low,Dividend - Rs 9 Per Share,NSE_CA
2026-07-06,DJML,DJ Mediaprint & Logistics Limited,Dividend,Neutral,Low,Dividend - Re 0.15 Per Share,NSE_CA
2026-07-06,DCMSIL,DCM Shriram International Limited,Dividend,Neutral,Low,Dividend - Re 0.40 Per Share,NSE_CA
2026-07-06,SUNDARMFIN,Sundaram Finance Limited,Dividend,Neutral,Low,Dividend - Rs 24 Per Share,NSE_CA
2026-07-03,WELENT,Welspun Enterprises Limited,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-07-03,MARKSANS,Marksans Pharma Limited,Dividend,Neutral,Low,General Updates Marksans Pharma Limited has informed the Exchange about General Updates regarding Record Date 20 August 2026 for payment of dividend.,NSE_ANN
2026-07-03,UNIONBANK,Union Bank of India,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-03,BHARATFORG,Bharat Forge Limited,Dividend,Neutral,Low,Dividend - Rs 6.50 Per Share,NSE_CA
2026-07-03,EXIDEIND,Exide Industries Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-03,M&M,Mahindra & Mahindra Limited,Dividend,Neutral,Low,Dividend - Rs 33 Per Share,NSE_CA
2026-07-03,THERMAX,Thermax Limited,Dividend,Neutral,Low,Dividend - Rs 14 Per Share/Special Dividend - Rs 6 Per Share,NSE_CA
2026-07-03,SKFINDIA,SKF India Limited,Dividend,Neutral,Low,Dividend - Rs 40 Per Share,NSE_CA
2026-07-03,BIOCON,Biocon Limited,Dividend,Neutral,Low,Dividend - Re 0.50 Per Share,NSE_CA
2026-07-03,MAHLIFE,Mahindra Lifespace Developers Limited,Dividend,Neutral,Low,Dividend - Rs 3.50 Per Share,NSE_CA
2026-07-03,SWARAJENG,Swaraj Engines Limited,Dividend,Neutral,Low,Dividend - Rs 110 Per Share,NSE_CA
2026-07-03,ONWARDTEC,Onward Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-03,BALAMINES,Balaji Amines Limited,Dividend,Neutral,Low,Dividend - Rs 11 Per Share,NSE_CA
2026-07-03,TECHM,Tech Mahindra Limited,Dividend,Neutral,Low,Dividend - Rs 36 Per Share,NSE_CA
2026-07-03,REDINGTON,Redington Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-03,BFINVEST,BF Investment Limited,Dividend,Neutral,Low,Dividend - Rs 10 Per Share,NSE_CA
2026-07-03,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-03,CANFINHOME,Can Fin Homes Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
