Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-21,INFY,Infosys Ltd,Bonus Issue,Bullish,High,Bonus 1:1,NSE_CA
2026-07-21,TCS,Tata Consultancy Services,Buyback,Bullish,High,Buy Back of Shares,NSE_CA
2026-07-21,TATAMOTORS,Tata Motors,Preferential Allotment,Neutral,High,Preferential allotment of equity shares,NSE_ANN
2026-07-21,YESBANK,Yes Bank,QIP,Neutral,High,Fund raising via QIP of Rs 5000 Cr,NSE_ANN
2026-07-21,SUNPHARMA,Sun Pharma,Regulatory Approval,Bullish,High,Received approval from USFDA for new drug,NSE_ANN
2026-07-21,HDFCBANK,HDFC Bank Ltd,Mergers & Acquisitions,Bullish,High,Acquisition of stake in fintech NBFC - scheme of arrangement,NSE_ANN
2026-07-21,LT,Larsen & Toubro Ltd,Large Order Win,Bullish,High,Bagging/Receiving of orders - bags order worth Rs 15000 Cr,NSE_ANN
2026-07-15,ORBTEXP,Orbit Exports Limited,Buyback,Bullish,High,Buy Back,NSE_CA
2026-07-21,DMART,Avenue Supermarts,Stock Split,Neutral,Medium,Face Value Split from 10 to 2,NSE_CA
2026-07-21,VEDL,Vedanta Ltd,Rights Issue,Bearish,Medium,Rights Issue,NSE_CA
2026-07-21,INFY,Infosys Ltd,Management Change,Neutral,Medium,Resignation of Chief Financial Officer,NSE_ANN
2026-07-14,EPACKPEB,EPack Prefab Technologies Limited,Management Change,Neutral,Medium,"Cessation Intimation of Resignation of Senior Management Personnel ( SMP ) pursuant to Regulation 30 ofSEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",NSE_ANN
2026-07-14,JAYKAY,Jaykay Enterprises Limited,Rights Issue,Bearish,Medium,Updates Jaykay Enterprises Limited has informed the Exchange regarding 'Draft Letter of Offer for the Rights Issue of Jaykay Enterprises Limited'.,NSE_ANN
2026-07-21,ITC,ITC Ltd,Dividend,Neutral,Low,Dividend - Rs 7.50 Per Share,NSE_CA
2026-07-16,ASPINWALL,Aspinwall and Company Limited,Dividend,Neutral,Low,Dividend - Rs 6.50 Per Share,NSE_CA
2026-07-16,COROMANDEL,Coromandel International Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-15,BBL,Bharat Bijlee Limited,Dividend,Neutral,Low,Dividend - Rs 35 Per Share,NSE_CA
2026-07-15,HERITGFOOD,Heritage Foods Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-15,KFINTECH,Kfin Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 12 Per Share,NSE_CA
2026-07-15,TCS,Tata Consultancy Services Limited,Dividend,Neutral,Low,Interim Dividend - Rs 12 Per Share,NSE_CA
2026-07-14,BIMETAL,Bimetal Bearings Limited,Dividend,Neutral,Low,Dividend - Rs 13.50 Per Share,NSE_CA
2026-07-14,HESTERBIO,Hester Biosciences Limited,Dividend,Neutral,Low,Dividend - Rs 11 Per Share,NSE_CA
2026-07-14,PIXTRANS,Pix Transmissions Limited,Dividend,Neutral,Low,Dividend - Rs 9 Per Share,NSE_CA
2026-07-14,MSUMI,Motherson Sumi Wiring India Limited,Dividend,Neutral,Low,Dividend - Re 0.58 Per Share,NSE_CA
2026-07-14,SPLPETRO,Supreme Petrochem Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-14,MODISONLTD,MODISON LIMITED,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-07-14,MOTHERSON,Samvardhana Motherson International Limited,Dividend,Neutral,Low,Dividend - Rs 0.25 Per Share,NSE_CA
2026-07-14,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Dividend,Neutral,Low,Dividend - Rs 0.05 Per Share,NSE_CA
2026-07-14,UTIAMC,UTI Asset Management Company Limited,Dividend,Neutral,Low,Dividend - Rs 40 Per Share,NSE_CA
2026-07-14,ULTRAMAR,Ultramarine & Pigments Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-14,ABREL,Aditya Birla Real Estate Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-14,AEROFLEX,Aeroflex Industries Limited,Dividend,Neutral,Low,Dividend - Rs 0.40 Per Share,NSE_CA
2026-07-14,IMPAL,India Motor Parts and Accessories Limited,Dividend,Neutral,Low,Dividend - Rs 23 Per Share,NSE_CA
