Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-03,TEAMLEASE,Teamlease Services Limited,Buyback,Bullish,High,Buy Back,NSE_CA
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations RR Infralands Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,KPEL,K.P. Energy Limited,Regulatory Approval,Bullish,High,ESOP/ESOS/ESPS K.P. Energy Limited has informed the Exchange regarding Grant of 76000  Options.,NSE_ANN
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Jarul Infrastructure Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,INDOTHAI,Indo Thai Securities Limited,Preferential Allotment,Neutral,High,"Committee Meeting Updates Indo Thai Securities Limited has informed the Exchange regarding Outcome of Preferential Allotment Committee Meeting held on July 03, 2026.",NSE_ANN
2026-07-03,RTNPOWER,RattanIndia Power Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Heliotrope Real Estate Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,INDOTHAI,Indo Thai Securities Limited,Preferential Allotment,Neutral,High,"Allotment of Securities Indo Thai Securities Limited has informed the Exchange regarding allotment of 1500000 Equity Shares pursuant to conversion of warrants issued on Preferential Issue at its meeting held on July 03, 2026.",NSE_ANN
2026-07-03,COROMANDEL,Coromandel International Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations Coromandel International Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-03,UFO,UFO Moviez India Limited,Mergers & Acquisitions,Bullish,High,"Disclosure under SEBI Takeover Regulations UFO Moviez India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",NSE_ANN
2026-07-02,GUJENERGY,GUJARAT ENERGY LIMITED,Mergers & Acquisitions,Bullish,High,Demerger,NSE_CA
2026-07-03,MBAPL,Madhya Bharat Agro Products Limited,Stock Split,Neutral,Medium,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,NSE_CA
